,Name,Age,Club,Overall,Potential,Height
52,J. Vertonghen,31,Tottenham Hotspur,87,87,187.96
53,M. Hamšík,30,Napoli,87,87,182.88
54,I. Rakitić,30,FC Barcelona,87,87,182.88
55,Piqué,31,FC Barcelona,87,87,193.04
56,L. Sané,22,Manchester City,86,92,182.88
57,Bernardo Silva,23,Manchester City,86,91,172.72
58,Ederson,24,Manchester City,86,90,187.96
59,S. Mané,26,Liverpool,86,87,175.26
60,V. van Dijk,26,Liverpool,86,88,193.04
61,R. Sterling,23,Manchester City,86,89,170.18
62,Roberto Firmino,26,Liverpool,86,87,180.34
63,R. Varane,25,Real Madrid,86,91,190.5
64,M. Verratti,25,Paris Saint-Germain,86,89,165.1
65,Alex Sandro,27,Juventus,86,86,180.34
66,Douglas Costa,27,Juventus,86,86,172.72
67,T. Müller,28,FC Bayern München,86,86,185.42
68,Thiago,27,FC Bayern München,86,86,175.26
69,M. Reus,29,Borussia Dortmund,86,86,180.34
70,Azpilicueta,28,Chelsea,86,86,177.8
71,L. Bonucci,31,Juventus,86,86,190.5
72,T. Alderweireld,29,Tottenham Hotspur,86,87,185.42
73,M. Pjanić,28,Juventus,86,86,177.8
74,M. Benatia,31,Juventus,86,86,187.96
75,M. Özil,29,Arsenal,86,86,180.34
76,Fernandinho,33,Manchester City,86,86,177.8
77,Iniesta,34,Vissel Kobe,86,86,170.18
78,M. Škriniar,23,Inter,85,92,187.96
79,S. Milinković-Savić,23,Lazio,85,90,190.5
80,Marco Asensio,22,Real Madrid,85,92,182.88
81,N. Fekir,24,Olympique Lyonnais,85,89,172.72
82,Alisson,25,Liverpool,85,90,190.5
83,J. Kimmich,23,FC Bayern München,85,88,175.26
84,Saúl,23,Atlético Madrid,85,90,182.88
85,R. Mahrez,27,Manchester City,85,85,177.8
86,D. Alaba,26,FC Bayern München,85,87,180.34
87,Koke,26,Atlético Madrid,85,86,175.26
88,A. Lacazette,27,Arsenal,85,86,175.26
89,K. Manolas,27,Roma,85,87,187.96
90,N. Otamendi,30,Manchester City,85,85,182.88
91,Parejo,29,Valencia CF,85,85,182.88
92,Paulinho,29,Guangzhou Evergrande Taobao FC,85,85,182.88
93,W. Szczęsny,28,Juventus,85,87,195.58
94,A. Sánchez,29,Manchester United,85,85,170.18
95,Y. Brahimi,28,FC Porto,85,85,175.26
96,J. Boateng,29,FC Bayern München,85,85,193.04
97,A. Vidal,31,FC Barcelona,85,85,180.34
98,I. Perišić,29,Inter,85,85,185.42
99,E. Džeko,32,Roma,85,85,193.04
100,S. Khedira,31,Juventus,85,85,187.96
101,Diego Costa,29,Atlético Madrid,85,85,187.96
102,R. Nainggolan,30,Inter,85,85,175.26
103,Naldo,35,FC Schalke 04,85,85,198.12
104,B. Matuidi,31,Juventus,85,85,180.34
105,Miranda,33,Inter,85,85,185.42
106,K. Benzema,30,Real Madrid,85,85,185.42
107,Filipe Luís,32,Atlético Madrid,85,85,182.88
108,V. Kompany,32,Manchester City,85,85,190.5
109,Pepe,35,Beşiktaş JK,85,85,187.96
110,Z. Ibrahimović,36,LA Galaxy,85,85,195.58
111,D. Sánchez,22,Tottenham Hotspur,84,88,187.96
112,J. Giménez,23,Atlético Madrid,84,88,185.42
113,Alex Telles,25,FC Porto,84,87,180.34
114,A. Laporte,24,Manchester City,84,88,187.96
115,Bruno Fernandes,23,Sporting CP,84,88,177.8
116,N. Süle,22,FC Bayern München,84,90,195.58
117,A. Martial,22,Manchester United,84,90,182.88
118,D. Alli,22,Tottenham Hotspur,84,90,187.96
119,Fabinho,24,Liverpool,84,88,187.96
120,Marquinhos,24,Paris Saint-Germain,84,89,182.88
121,William Carvalho,26,Real Betis,84,86,187.96
122,Jorginho,26,Chelsea,84,87,180.34
123,F. Thauvin,25,Olympique de Marseille,84,87,177.8
124,Carvajal,26,Real Madrid,84,87,172.72
125,M. Depay,24,Olympique Lyonnais,84,89,175.26
126,H. Son,25,Tottenham Hotspur,84,85,182.88
127,A. Lopes,27,Olympique Lyonnais,84,86,182.88
128,S. de Vrij,26,Inter,84,86,187.96
129,M. Perin,25,Juventus,84,89,187.96
130,J. Cuadrado,30,Juventus,84,84,177.8
131,Iago Aspas,30,RC Celta,84,84,175.26
132,B. Leno,26,Arsenal,84,87,190.5
133,N. Matić,29,Manchester United,84,84,193.04
134,L. Hrádecký,28,Bayer 04 Leverkusen,84,84,193.04
135,Illarramendi,28,Real Sociedad,84,84,177.8
136,K. Walker,28,Manchester City,84,84,182.88
137,I. Gündoğan,27,Manchester City,84,84,180.34
138,José Callejón,31,Napoli,84,84,177.8
139,A. Di María,30,Paris Saint-Germain,84,84,180.34
140,M. Mandžukić,32,Juventus,84,84,190.5
141,Willian,29,Chelsea,84,84,175.26
142,Sergio Asenjo,29,Villarreal CF,84,85,187.96
143,E. Banega,30,Sevilla FC,84,84,175.26
144,A. Witsel,29,Borussia Dortmund,84,84,187.96
145,D. Payet,31,Olympique de Marseille,84,84,175.26
146,Jonas,34,SL Benfica,84,84,180.34
147,Sokratis,30,Arsenal,84,84,185.42
148,S. Ruffier,31,AS Saint-Étienne,84,84,187.96
149,Falcao,32,AS Monaco,84,84,177.8
150,K. Schmeichel,31,Leicester City,84,84,187.96
151,Raúl Albiol,32,Napoli,84,84,190.5
152,A. Gómez,30,Atalanta,84,84,165.1
153,A. Barzagli,37,Juventus,84,84,187.96
154,Quaresma,34,Beşiktaş JK,84,84,175.26
155,A. Robben,34,FC Bayern München,84,84,180.34
156,O. Dembélé,21,FC Barcelona,83,92,177.8
157,Gabriel Jesus,21,Manchester City,83,92,175.26
158,Ronaldo Cabrais,26,Grêmio,83,83,177.8
159,Josué Chiamulera,26,Grêmio,83,83,185.42
160,Louri Beretta,26,Atlético Mineiro,83,83,187.96
161,P. Kimpembe,22,Paris Saint-Germain,83,89,187.96
162,N. Keïta,23,Liverpool,83,88,172.72
163,C. Tolisso,23,FC Bayern München,83,88,180.34
164,T. Lemar,22,Atlético Madrid,83,89,170.18
165,K. Coman,22,FC Bayern München,83,87,177.8
166,J. Tah,22,Bayer 04 Leverkusen,83,88,195.58
167,Anderson Talisca,24,Guangzhou Evergrande Taobao FC,83,90,190.5
168,T. Werner,22,RB Leipzig,83,87,180.34
169,A. Rabiot,23,Paris Saint-Germain,83,87,193.04
170,L. Goretzka,23,FC Bayern München,83,88,187.96
171,Q. Promes,26,Sevilla FC,83,84,175.26
172,H. Ziyech,25,Ajax,83,86,180.34
173,Lucas Vázquez,27,Real Madrid,83,83,172.72
174,Y. Carrasco,24,Dalian YiFang FC,83,86,180.34
175,Gerard Moreno,26,Villarreal CF,83,85,180.34
176,Felipe,29,FC Porto,83,83,190.5
177,M. Kovačić,24,Chelsea,83,89,175.26
178,Kepa,23,Chelsea,83,91,185.42
179,Manu Trigueros,26,Villarreal CF,83,84,177.8
180,S. Gnabry,22,FC Bayern München,83,88,175.26
181,J. Pickford,24,Everton,83,88,185.42
182,S. Savić,27,Atlético Madrid,83,86,187.96
183,J. Stones,24,Manchester City,83,87,187.96
184,Suso,24,Milan,83,86,175.26
185,J. Draxler,24,Paris Saint-Germain,83,86,187.96
186,Felipe Anderson,25,West Ham United,83,85,175.26
187,Lucas Moura,25,Tottenham Hotspur,83,84,175.26
188,Danilo Pereira,26,FC Porto,83,86,187.96
189,Nacho Fernández,28,Real Madrid,83,85,180.34
190,T. Horn,25,1. FC Köln,83,87,193.04
191,Allan,27,Napoli,83,83,175.26
192,F. Acerbi,30,Lazio,83,83,193.04
193,Sergi Roberto,26,FC Barcelona,83,86,177.8
194,Rodrigo,27,Valencia CF,83,84,182.88
195,Pizzi,28,SL Benfica,83,83,177.8
196,K. Kampl,27,RB Leipzig,83,83,177.8
197,Neto,28,Valencia CF,83,84,190.5
198,O. Baumann,28,TSG 1899 Hoffenheim,83,84,187.96
199,I. Gueye,28,Everton,83,83,175.26
200,H. Mkhitaryan,29,Arsenal,83,83,177.8
201,Marcos Alonso,27,Chelsea,83,84,187.96
202,D. Subašić,33,AS Monaco,83,83,190.5
203,K. Glik,30,AS Monaco,83,83,190.5
204,K. Strootman,28,Olympique de Marseille,83,83,185.42
205,B. Dost,29,Sporting CP,83,83,195.58
206,Oscar,26,Shanghai SIPG FC,83,84,177.8
207,M. Balotelli,27,OGC Nice,83,83,187.96
208,Luiz Gustavo,30,Olympique de Marseille,83,83,187.96
209,Giuliano,28,Al Nassr,83,83,172.72
210,David Luiz,31,Chelsea,83,83,187.96
211,R. Fährmann,29,FC Schalke 04,83,84,198.12
212,Juan Mata,30,Manchester United,83,83,170.18
213,Adán,31,Atlético Madrid,83,83,190.5
214,Rui Patrício,30,Wolverhampton Wanderers,83,83,190.5
215,Y. Sommer,29,Borussia Mönchengladbach,83,84,182.88
216,Javi Martínez,29,FC Bayern München,83,83,193.04
217,L. Bender,29,Bayer 04 Leverkusen,83,83,185.42
218,Lucas Leiva,31,Lazio,83,83,177.8
219,S. Mandanda,33,Olympique de Marseille,83,83,185.42
220,Cesc Fàbregas,31,Chelsea,83,83,177.8
221,M. Dembélé,30,Tottenham Hotspur,83,83,185.42
222,F. Ribéry,35,FC Bayern München,83,83,170.18
223,R. Jarstein,33,Hertha BSC,83,83,190.5
224,D. De Rossi,34,Roma,83,83,182.88
225,Pepe Reina,35,Milan,83,83,187.96
226,J. Pavlenka,26,SV Werder Bremen,82,85,195.58
227,M. de Ligt,18,Ajax,82,91,187.96
228,Rodri,22,Atlético Madrid,82,87,190.5
229,Arthur,21,FC Barcelona,82,90,170.18
230,G. Donnarumma,19,Milan,82,93,195.58
231,Rosberto Dourado,30,Atlético Mineiro,82,82,175.26
232,Juiano Mestres,34,Cruzeiro,82,82,180.34
233,Raphaelito Anjos,30,Grêmio,82,82,190.5
234,Gelson Martins,23,Atlético Madrid,82,87,172.72
235,Gonçalo Guedes,21,Valencia CF,82,86,177.8
236,L. Torreira,22,Arsenal,82,87,167.64
237,Malcom,21,FC Barcelona,82,89,172.72
238,Pau López,23,Real Betis,82,87,187.96
239,L. Hernández,22,Atlético Madrid,82,88,182.88
240,C. Lenglet,23,FC Barcelona,82,88,185.42
241,A. Kramarić,27,TSG 1899 Hoffenheim,82,83,177.8
242,A. Robertson,24,Liverpool,82,87,177.8
243,Dani García,28,Athletic Club de Bilbao,82,83,180.34
244,F. Bernardeschi,24,Juventus,82,87,185.42
245,J. Brandt,22,Bayer 04 Leverkusen,82,88,185.42
246,D. Rugani,23,Juventus,82,86,190.5
247,Samu Castillejo,23,Milan,82,86,182.88
248,João Cancelo,24,Juventus,82,88,182.88
249,A. Romagnoli,23,Milan,82,89,187.96
250,T. Partey,25,Atlético Madrid,82,88,185.42
251,Fred,25,Manchester United,82,84,170.18
252,J. Vardy,31,Leicester City,82,82,177.8
253,A. Belotti,24,Torino,82,87,180.34
254,E. Forsberg,26,RB Leipzig,82,83,177.8
255,J. Lingard,25,Manchester United,82,83,175.26
256,F. Vázquez,29,Sevilla FC,82,82,185.42
257,E. Višća,28,Medipol Başakşehir FK,82,82,172.72
258,A. Rüdiger,25,Chelsea,82,84,190.5
259,A. Florenzi,27,Roma,82,83,172.72
260,H. Maguire,25,Leicester City,82,85,193.04
261,T. Meunier,26,Paris Saint-Germain,82,83,190.5
262,S. Sané,27,FC Schalke 04,82,82,195.58
263,G. Kondogbia,25,Valencia CF,82,85,187.96
264,Rafinha,25,FC Barcelona,82,87,175.26
265,Gabriel Paulista,27,Valencia CF,82,83,187.96
266,Morata,25,Chelsea,82,85,187.96
267,J. Cillessen,29,FC Barcelona,82,84,185.42
268,W. Ben Yedder,27,Sevilla FC,82,82,170.18
269,C. Bakambu,27,Beijing Sinobo Guoan FC,82,83,182.88
270,Pablo Sarabia,26,Sevilla FC,82,83,175.26
271,W. Zaha,25,Crystal Palace,82,85,180.34
272,Luis Alberto,25,Lazio,82,85,182.88
273,Jonathan Viera,28,Beijing Sinobo Guoan FC,82,82,170.18
274,Bartra,27,Real Betis,82,83,182.88
275,S. Coates,27,Sporting CP,82,83,195.58
276,Willian José,26,Real Sociedad,82,83,187.96
277,Mário Fernandes,27,PFC CSKA Moscow,82,82,187.96
278,Víctor Ruiz,29,Villarreal CF,82,83,185.42
279,T. Delaney,26,Borussia Dortmund,82,83,182.88
280,K. Casteels,26,VfL Wolfsburg,82,85,198.12
281,M. Götze,26,Borussia Dortmund,82,85,175.26
282,S. Mustafi,26,Arsenal,82,84,182.88
283,J. Pastore,29,Roma,82,82,187.96
284,Pedro,30,Chelsea,82,82,170.18
285,G. Bonaventura,28,Milan,82,82,180.34
286,R. Bürki,27,Borussia Dortmund,82,85,187.96
287,Taison,30,Shakhtar Donetsk,82,82,172.72
288,S. Nzonzi,29,Roma,82,82,195.58
289,Marlos,30,Shakhtar Donetsk,82,82,175.26
290,A. Ramsey,27,Arsenal,82,83,182.88
291,K. Trippier,27,Tottenham Hotspur,82,82,177.8
292,A. Kolarov,32,Roma,82,82,187.96
293,G. Sigurðsson,28,Everton,82,82,185.42
294,S. Giovinco,31,Toronto FC,82,82,162.56
295,M. Arnautović,29,West Ham United,82,82,193.04
296,N. Gaitán,30,Dalian YiFang FC,82,82,172.72
297,J. Henderson,28,Liverpool,82,82,182.88
298,M. Kruse,30,SV Werder Bremen,82,82,180.34
299,M. Parolo,33,Lazio,82,82,182.88
300,L. Fejsa,29,SL Benfica,82,82,182.88
301,A. Rami,32,Olympique de Marseille,82,82,190.5
302,V. Ćorluka,32,Lokomotiv Moscow,82,82,193.04
303,G. Wijnaldum,27,Liverpool,82,82,175.26
304,F. Fazio,31,Roma,82,82,195.58
305,O. Giroud,31,Chelsea,82,82,193.04
306,Marcano,31,Roma,82,82,187.96
307,A. Guardado,31,Real Betis,82,82,170.18
308,E. Garay,31,Valencia CF,82,82,187.96
309,Jardel,32,SL Benfica,82,82,193.04
310,S. Sirigu,31,Torino,82,82,193.04
311,E. Viviano,32,Sporting CP,82,82,195.58
312,L. Koscielny,32,Arsenal,82,82,185.42
313,A. Consigli,31,Sassuolo,82,82,187.96
314,L. Biglia,32,Milan,82,82,177.8
315,Dani Alves,35,Paris Saint-Germain,82,82,172.72
316,David Villa,36,New York City FC,82,82,175.26
317,Aduriz,37,Athletic Club de Bilbao,82,82,182.88
318,P. Čech,36,Arsenal,82,82,195.58
319,Casillas,37,FC Porto,82,82,185.42
320,M. Rashford,20,Manchester United,81,89,185.42
321,Laure Santeiro,30,Fluminense,81,81,170.18
322,L. Bailey,20,Bayer 04 Leverkusen,81,89,177.8
323,M. Akanji,22,Borussia Dortmund,81,87,187.96
324,F. de Jong,21,Ajax,81,89,180.34
325,Nélson Semedo,24,FC Barcelona,81,86,177.8
326,Pablo Fornals,22,Villarreal CF,81,86,177.8
327,Fabián,22,Napoli,81,89,187.96
328,E. Bailly,24,Manchester United,81,87,185.42
329,Dani Ceballos,21,Real Madrid,81,88,177.8
330,H. Lozano,22,PSV,81,86,175.26
331,Morales,30,Levante UD,81,81,180.34
332,J. Seri,26,Fulham,81,82,170.18
333,M. Politano,24,Inter,81,84,170.18
334,M. Brozović,25,Inter,81,84,180.34
335,Williams,24,Athletic Club de Bilbao,81,87,185.42
336,A. Correa,23,Atlético Madrid,81,87,170.18
337,A. Christensen,22,Chelsea,81,88,187.96
338,João Mário,25,Inter,81,84,177.8
339,T. Strakosha,23,Lazio,81,86,193.04
340,E. Hysaj,24,Napoli,81,86,182.88
341,P. Zieliński,24,Napoli,81,88,180.34
342,Ricardo Pereira,24,Leicester City,81,85,175.26
343,Grimaldo,22,SL Benfica,81,87,170.18
344,R. Guerreiro,24,Borussia Dortmund,81,86,170.18
345,A. Doucouré,25,Watford,81,85,182.88
346,J. Martínez,25,Atlanta United,81,84,170.18
347,C. Bacca,31,Villarreal CF,81,81,180.34
348,A. Plea,25,Borussia Mönchengladbach,81,83,180.34
349,B. Davies,25,Tottenham Hotspur,81,84,182.88
350,M. Nastasić,25,FC Schalke 04,81,84,187.96
351,A. Milik,24,Napoli,81,88,185.42
352,M. Sabitzer,24,RB Leipzig,81,84,177.8
353,B. Mendy,23,Manchester City,81,86,185.42
354,C. Kramer,27,Borussia Mönchengladbach,81,82,190.5
355,S. Vrsaljko,26,Inter,81,84,180.34
356,T. Hazard,25,Borussia Mönchengladbach,81,83,175.26
357,K. Bellarabi,28,Bayer 04 Leverkusen,81,81,182.88
358,S. Zaza,27,Torino,81,82,185.42
359,F. Ghoulam,27,Napoli,81,82,182.88
360,B. Lecomte,27,Montpellier HSC,81,84,185.42
361,J. Iličić,30,Atalanta,81,81,190.5
362,K. Volland,25,Bayer 04 Leverkusen,81,83,177.8
363,Paco Alcácer,24,Borussia Dortmund,81,85,175.26
364,Vitolo,28,Atlético Madrid,81,81,185.42
365,G. Xhaka,25,Arsenal,81,84,185.42
366,D. Tadić,29,Ajax,81,81,180.34
367,C. Aránguiz,29,Bayer 04 Leverkusen,81,81,170.18
368,S. Verdi,25,Napoli,81,81,170.18
369,D. Lovren,28,Liverpool,81,82,187.96
370,G. Medel,30,Beşiktaş JK,81,81,170.18
371,X. Shaqiri,26,Liverpool,81,81,170.18
372,J. Corona,25,FC Porto,81,83,172.72
373,A. Areola,25,Paris Saint-Germain,81,85,195.58
374,K. Vogt,26,TSG 1899 Hoffenheim,81,82,193.04
375,Ander Herrera,28,Manchester United,81,81,182.88
376,E. Salvio,27,SL Benfica,81,81,172.72
377,S. El Shaarawy,25,Roma,81,82,177.8
378,C. Smalling,28,Manchester United,81,82,193.04
379,Hulk,31,Shanghai SIPG FC,81,81,180.34
380,S. Kagawa,29,Borussia Dortmund,81,81,175.26
381,M. Lanzini,25,West Ham United,81,85,167.64
382,F. Smolov,28,Lokomotiv Moscow,81,81,187.96
383,L. Stindl,29,Borussia Mönchengladbach,81,81,180.34
384,O. Toprak,28,Borussia Dortmund,81,82,185.42
385,D. Perotti,29,Roma,81,81,177.8
386,F. Muslera,32,Galatasaray SK,81,81,190.5
387,B. Höwedes,30,Lokomotiv Moscow,81,81,187.96
388,S. Kjær,29,Sevilla FC,81,81,187.96
389,S. Bender,29,Bayer 04 Leverkusen,81,81,185.42
390,M. Valbuena,33,Fenerbahçe SK,81,81,167.64
391,Pedro León,31,SD Eibar,81,81,182.88
392,K. Boateng,31,Sassuolo,81,81,185.42
393,L. Piszczek,33,Borussia Dortmund,81,81,182.88
394,A. Candreva,31,Inter,81,81,180.34
395,D. Wass,29,Valencia CF,81,81,180.34
396,E. Lamela,26,Tottenham Hotspur,81,82,182.88
397,D. Rose,27,Tottenham Hotspur,81,81,175.26
398,C. Vela,29,Los Angeles FC,81,81,177.8
399,Renato Augusto,30,Beijing Sinobo Guoan FC,81,81,185.42
400,A. Valencia,32,Manchester United,81,81,180.34
401,L. Fabiański,33,West Ham United,81,81,190.5
402,João Moutinho,31,Wolverhampton Wanderers,81,81,170.18
403,Borja Valero,33,Inter,81,81,175.26
404,F. Quagliarella,35,Sampdoria,81,81,180.34
405,B. Gomis,32,Al Hilal,81,81,182.88
406,Manuel Fernandes,32,Lokomotiv Moscow,81,81,175.26
407,H. Herrera,28,FC Porto,81,81,182.88
408,Raffael,33,Borussia Mönchengladbach,81,81,175.26
409,Nani,31,Sporting CP,81,81,177.8
410,J. Milner,32,Liverpool,81,81,175.26
411,J. Mathieu,34,Sporting CP,81,81,187.96
412,Joaquín,36,Real Betis,81,81,177.8
413,M. Gómez,21,RC Celta,80,85,185.42
414,K. Havertz,19,Bayer 04 Leverkusen,80,89,187.96
415,T. Ndombele,21,Olympique Lyonnais,80,89,180.34
416,H. Aouar,20,Olympique Lyonnais,80,90,175.26
417,Carlos Soler,21,Valencia CF,80,87,180.34
418,Odriozola,22,Real Madrid,80,88,175.26
419,M. Almirón,24,Atlanta United,80,84,175.26
420,Welington Dano,30,Cruzeiro,80,80,177.8
421,Everton Andrão,34,Fluminense,80,80,177.8
422,Oyarzabal,21,Real Sociedad,80,87,180.34
423,F. Balbuena,26,West Ham United,80,83,187.96
424,M. Marega,27,FC Porto,80,80,185.42
425,B. Pavard,22,VfB Stuttgart,80,86,185.42
426,W. Ndidi,21,Leicester City,80,85,182.88
427,A. Onana,22,Ajax,80,85,187.96
428,G. Lo Celso,22,Real Betis,80,86,175.26
429,M. Acuña,26,Sporting CP,80,80,172.72
430,Rúben Neves,21,Wolverhampton Wanderers,80,87,180.34
431,Mariano,24,Real Madrid,80,85,180.34
432,Raúl,28,SC Braga,80,80,187.96
433,M. Caldara,24,Milan,80,86,187.96
434,M. Vecino,26,Inter,80,81,187.96
435,T. Bakayoko,23,Milan,80,85,187.96
436,M. Dahoud,22,Borussia Dortmund,80,86,177.8
437,Rafa,25,SL Benfica,80,83,172.72
438,K. Baldé,23,Inter,80,85,180.34
439,G. Rulli,26,Real Sociedad,80,85,187.96
440,F. Armani,31,River Plate,80,80,187.96
441,Rony Lopes,22,AS Monaco,80,85,175.26
442,Santi Mina,22,Valencia CF,80,85,180.34
443,K. Demirbay,24,TSG 1899 Hoffenheim,80,84,182.88
444,Gayà,23,Valencia CF,80,85,172.72
445,André Gomes,24,Everton,80,85,187.96
446,N. Tagliafico,25,Ajax,80,82,170.18
447,M. Sanson,23,Olympique de Marseille,80,85,180.34
448,Pacheco,26,Deportivo Alavés,80,83,185.42
449,E. Can,24,Juventus,80,85,182.88
450,H. Çalhanoğlu,24,Milan,80,84,177.8
451,M. Ginter,24,Borussia Mönchengladbach,80,82,187.96
452,M. Keane,25,Everton,80,83,190.5
453,L. Paredes,24,,80,85,180.34
454,T. Stepanenko,28,Shakhtar Donetsk,80,80,180.34
455,L. Shaw,22,Manchester United,80,85,180.34
456,Z. Feddal,28,Real Betis,80,80,190.5
457,S. Haller,24,Eintracht Frankfurt,80,83,190.5
458,Bernard,25,Everton,80,81,165.1
459,T. Inui,30,Real Betis,80,80,170.18
460,Portu,26,Girona FC,80,81,177.8
461,M. Batshuayi,24,Valencia CF,80,84,185.42
462,E. Zahavi,30,Guangzhou R&F; FC,80,80,182.88
463,T. Vaclík,29,Sevilla FC,80,81,187.96
464,N. Pope,26,Burnley,80,83,200.66
465,Héctor Bellerín,23,Arsenal,80,85,177.8
466,P. Kadeřábek,26,TSG 1899 Hoffenheim,80,81,182.88
467,J. Butland,25,Stoke City,80,85,195.58
468,J. Vestergaard,25,Southampton,80,81,198.12
469,J. Tarkowski,25,Burnley,80,83,193.04
470,Deulofeu,24,Watford,80,82,177.8
471,E. Dier,24,Tottenham Hotspur,80,84,187.96
472,J. Murillo,26,Valencia CF,80,84,182.88
473,M. Badelj,29,Lazio,80,80,185.42
474,Ismaily,28,Shakhtar Donetsk,80,80,177.8
475,N. Schulz,25,TSG 1899 Hoffenheim,80,81,180.34
476,L. Digne,24,Everton,80,84,177.8
477,M. Uth,26,FC Schalke 04,80,81,185.42
478,Cristian Tello,26,Real Betis,80,80,177.8
479,D. Vida,29,Beşiktaş JK,80,80,182.88
480,L. Muriel,27,Sevilla FC,80,81,177.8
481,V. Aboubakar,26,FC Porto,80,82,182.88
482,A. Oxlade-Chamberlain,24,Liverpool,80,85,175.26
483,S. Aurier,25,Tottenham Hotspur,80,83,175.26
484,J. Matip,26,Liverpool,80,82,193.04
485,Y. Rakitskyi,28,Shakhtar Donetsk,80,80,185.42
486,Sergi Enrich,28,SD Eibar,80,80,180.34
487,A. Yarmolenko,28,West Ham United,80,80,190.5
488,Hugo Mallo,27,RC Celta,80,81,175.26
489,André Almeida,27,SL Benfica,80,80,185.42
490,D. Didavi,28,VfB Stuttgart,80,80,180.34
491,R. Rodríguez,25,Milan,80,83,180.34
492,R. Pereyra,27,Watford,80,80,182.88
493,Mario Gaspar,27,Villarreal CF,80,80,182.88
494,Maicon,29,Galatasaray SK,80,80,190.5
495,D. Blind,28,Ajax,80,80,180.34
496,J. Zoet,27,PSV,80,83,187.96
497,A. Ljajić,26,Beşiktaş JK,80,81,182.88
498,Canales,27,Real Betis,80,80,180.34
499,Iago Falqué,28,Torino,80,80,175.26
500,L. de Jong,27,PSV,80,80,187.96
501,Guaita,31,Crystal Palace,80,80,190.5
502,Muniain,25,Athletic Club de Bilbao,80,83,170.18
503,Susaeta,30,Athletic Club de Bilbao,80,80,177.8
504,S. Rudy,28,FC Schalke 04,80,80,177.8
505,K. Trapp,27,Eintracht Frankfurt,80,81,187.96
506,V. Wanyama,27,Tottenham Hotspur,80,82,182.88
507,N. Nkoulou,28,Torino,80,80,182.88
508,R. Boudebouz,28,Real Betis,80,80,177.8
509,Camacho,28,VfL Wolfsburg,80,81,182.88
510,S. Ulreich,29,FC Bayern München,80,80,193.04
511,M. Musacchio,27,Milan,80,80,180.34
512,C. Stuani,31,Girona FC,80,80,185.42
513,P. Gulácsi,28,RB Leipzig,80,80,193.04
514,Bruno,34,Villarreal CF,80,80,182.88
515,F. Delph,28,Manchester City,80,80,175.26
516,A. Lallana,30,Liverpool,80,80,177.8
517,Marcelo,31,Olympique Lyonnais,80,80,190.5
518,S. Coleman,29,Everton,80,80,177.8
519,Alexandre Pato,28,Tianjin Quanjian FC,80,80,180.34
